risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
1,237,Manikpur,Chitrakoot,98.18,AD(S),Avinash Chandra Dwivedi,35.17,SP,Veer Singh Patel,34.67,1048.0,0.5,23.3,22.8,True,99.0,95.6,100.0
2,239,Bindki,Fatehpur,98.01,AD(S),Jai Kumar Singh Jaiki,40.96,SP,Rameshwar Dayal,38.97,3797.0,1.990000000000002,31.0,29.009999999999998,True,96.02,100.0,100.0
3,180,Rae Bareli,Raebareli,96.89,BJP,Aditi Singh,44.51,SP,Ram Pratap Yadav,41.4,7175.0,3.1099999999999994,43.73,40.62,True,93.78,100.0,100.0
4,220,Kalpi,Jalaun,96.71,SP,Vinod Chaturvedi,29.48,NISHAD,Chhote Singh,28.29,2816.0,1.1900000000000013,22.69,21.5,True,97.62,93.0,100.0
5,310,Basti Sadar,Basti,96.13,SP,Mahendra Nath Yadav,39.81,BJP,Dayaram Choudhary,38.99,1779.0,0.8200000000000003,20.740000000000002,19.92,True,98.36,89.84,100.0
6,23,Chandpur,Bijnor,94.67,SP,Swami Omvesh,40.34,BJP,Kamlesh Saini,40.24,234.0,0.10000000000000142,16.390000000000004,16.290000000000003,True,99.8,82.58000000000001,100.0
7,118,Baheri,Bareilly,93.42,SP,Ataur Rehman,46.67,BJP,Chhatrapal Singh Gangwar,45.41,3355.0,1.2600000000000051,17.389999999999997,16.129999999999992,True,97.47999999999999,82.25999999999999,100.0
8,312,Menhdawal,Sant Kabir Nagar,93.15,NISHAD,Anil Kumar Tripathi,37.23,SP,Jay Chand,35.08,5223.0,2.1499999999999986,19.32,17.17,True,95.7,84.34,100.0
9,375,Ghazipur Sadar,Ghazipur,93.02,SP,Jai Kishan Sahu,40.81,BJP,Sangeeta Balwant Bind,40.06,1692.0,0.75,15.370000000000001,14.620000000000001,True,98.5,79.24000000000001,100.0
10,267,Ramnagar,Barabanki,91.0,SP,Fareed Mahfooz Kidwai,41.96,BJP,Sharad Kumar Awasthi,41.85,261.0,0.10999999999999943,10.29,10.18,True,99.78,70.36,100.0
11,269,Zaidpur (SC),Barabanki,90.2,SP,Gaurav Kumar,40.86,BJP,Ambrish Rawat,39.79,2982.0,1.0700000000000003,11.520000000000003,10.450000000000003,True,97.86,70.9,100.0
12,96,Jasrana,Firozabad,89.8,SP,Sachin Yadav,43.71,BJP,Manvendra Lodhi,43.37,836.0,0.3400000000000034,8.900000000000006,8.560000000000002,True,99.32,67.12,100.0
13,177,Bachhrawan (SC),Raebareli,89.73,SP,Shyam Sunder Bharti,31.38,AD(S),Laxmikant,30.04,2812.0,1.3399999999999999,11.450000000000003,10.110000000000003,True,97.32,70.22,100.0
14,10,Shamli,Shamli,88.73,RLD,Persann Kumar Chaudhary,48.86,BJP,Tejendra Nirwal,45.49,7107.0,3.3699999999999974,15.21,11.840000000000003,True,93.26,73.68,100.0
15,311,Mahadewa (SC),Basti,88.72,SBSP,Dudhram,39.47,BJP,Ravi Kumar Sonkar,36.87,5495.0,2.6000000000000014,13.129999999999999,10.529999999999998,True,94.8,71.06,100.0
16,259,Meja,Prayagraj,88.72,SP,Sandeep Singh Patel,42.12,BJP,Neelam Karwariya,40.28,3439.0,1.8399999999999963,11.099999999999998,9.260000000000002,True,96.32000000000001,68.52000000000001,100.0
17,203,Dibiyapur,Auraiya,88.42,SP,Pradeep Kumar Yadav,40.34,BJP,Lakhan Singh Rajput,40.1,473.0,0.240000000000002,6.339999999999996,6.099999999999994,True,99.52,62.19999999999999,100.0
18,240,Fatehpur,Fatehpur,88.35,SP,Chandra Prakash Lodhi,45.24,BJP,Vikram Singh,41.22,8601.0,4.020000000000003,16.3,12.279999999999998,True,91.96,74.56,100.0
19,251,Sirathu,Kaushambi,87.95,SP,Pallavi Patel,46.49,BJP,Keshav Prasad Maurya,43.28,7337.0,3.210000000000001,13.480000000000004,10.270000000000003,True,93.58,70.54,100.0
20,12,Charthawal,Muzaffarnagar,87.93,SP,Pankaj Kumar Malik,43.82,BJP,Sapna Kashyap,41.42,5334.0,2.3999999999999986,11.280000000000005,8.880000000000006,True,95.2,67.76000000000002,100.0
21,79,Sadabad,Hathras,87.83,RLD,Pradeep Kumar Singh,43.25,BJP,Ramveer Upadhyay,40.6,6437.0,2.6499999999999986,11.79,9.14,True,94.7,68.28,100.0
22,371,Zafrabad,Jaunpur,87.77,SBSP,Jagdish Narayan,40.57,BJP,Harendra Prasad Singh,37.76,6292.0,2.8100000000000023,12.11,9.299999999999997,True,94.38,68.6,100.0
23,218,Ghatampur (SC),Kanpur Nagar,87.54,AD(S),Saroj Kureel,41.6,SP,Bhagwati Prasad Sagar,34.23,14474.0,7.3700000000000045,23.89,16.519999999999996,True,85.25999999999999,83.03999999999999,100.0
24,288,Kaiserganj,Bahraich,87.52,SP,Anand Kumar,45.51,BJP,Gaurav Verma,42.11,7771.0,3.3999999999999986,13.27,9.870000000000001,True,93.2,69.74000000000001,100.0
25,253,Chail,Kaushambi,87.49,SP,Pooja Pal,39.65,AD(S),Nagendra Pratap Singh,33.76,13209.0,5.890000000000001,19.86,13.969999999999999,True,88.22,77.94,100.0
26,305,Itwa,Siddharthnagar,87.26,SP,Mata Prasad Pandey,38.54,BJP,Satish Chandra Dwiwedi,37.55,1662.0,0.990000000000002,6.41,5.419999999999998,True,98.02,60.839999999999996,100.0
27,365,Shahganj,Jaunpur,87.1,NISHAD,Ramesh Singh,36.21,SP,Shailendra Yadav Lalai,35.91,719.0,0.30000000000000426,4.300000000000001,3.9999999999999964,True,99.39999999999999,57.99999999999999,100.0
28,116,Shekhupur,Budaun,87.03,SP,Himanshu Yadav,42.84,BJP,Dharmendra Shakya,40.36,6100.0,2.480000000000004,9.989999999999998,7.5099999999999945,True,95.03999999999999,65.01999999999998,100.0
29,112,Bisauli (SC),Budaun,86.66,SP,Ashutosh Maurya,44.23,BJP,Kushagra Sagar,43.5,1834.0,0.7299999999999969,4.719999999999999,3.990000000000002,True,98.54,57.980000000000004,100.0
30,357,Belthara Road (SC),Ballia,86.41,SBSP,Hansu Ram,39.57,BJP,Chhattu Ram,36.81,5514.0,2.759999999999998,9.71,6.950000000000003,True,94.48,63.900000000000006,100.0
31,46,Kithore,Meerut,86.31,SP,Shahid Manzoor,42.19,BJP,Satyavir Tyagi,41.33,2180.0,0.8599999999999994,4.479999999999997,3.6199999999999974,True,98.28,57.239999999999995,100.0
32,233,Baberu,Banda,86.27,SP,Vishambhar Singh Yadav,38.75,BJP,Ajay Kumar,35.15,7393.0,3.6000000000000014,11.720000000000002,8.120000000000001,True,92.8,66.24000000000001,100.0
33,120,Bhojipura,Bareilly,86.24,SP,Shazil Islam Ansari,45.88,BJP,Bahoran Lal Maurya,42.26,9409.0,3.6200000000000045,11.720000000000002,8.099999999999998,True,92.75999999999999,66.19999999999999,100.0
34,264,Bara (SC),Prayagraj,86.11,AD(S),Vachaspati,43.49,SP,Ajay Munna,37.38,12464.0,6.109999999999999,18.150000000000002,12.040000000000003,True,87.78,74.08000000000001,100.0
35,182,Sareni,Raebareli,86.06,SP,Devendra Pratap Singh,30.53,BJP,Dhirendra Bahadur Singh,28.78,3807.0,1.75,6.430000000000003,4.680000000000003,True,96.5,59.36000000000001,100.0
36,255,Soraon (SC),Prayagraj,86.05,SP,Geeta Shastri,40.99,AD(S),Jamuna Prasad,38.48,5590.0,2.510000000000005,8.440000000000005,5.93,True,94.97999999999999,61.86,100.0
37,40,Naugawan Sadat,Amroha,85.93,SP,Samarpal Singh,44.38,BJP,Devender Nagpal,41.64,6540.0,2.740000000000002,8.86,6.119999999999997,True,94.52,62.239999999999995,100.0
38,250,Raniganj,Pratapgarh,85.83,SP,Rakesh Kumar Verma,40.05,BJP,Dhiraj Ojha,38.65,2649.0,1.3999999999999986,5.1200000000000045,3.720000000000006,True,97.2,57.44000000000001,100.0
39,238,Jahanabad,Fatehpur,85.57,BJP,Rajendra Singh Patel,41.21,SP,Madan Gopal Verma,31.66,18192.0,9.55,26.41,16.86,True,80.9,83.72,100.0
40,258,Handia,Prayagraj,84.92,SP,Hakim Lal Bind,39.36,NISHAD,Prashant Kumar Singh Rahul,37.71,3543.0,1.6499999999999986,4.270000000000003,2.6200000000000045,True,96.7,55.24000000000001,100.0
41,385,Ajagara (SC),Varanasi,84.91,BJP,Tribhuwan Ram,41.25,SBSP,Sunil Sonkar,37.51,9160.0,3.740000000000002,9.820000000000004,6.080000000000002,True,92.52,62.160000000000004,100.0
42,315,Pharenda,Maharajganj,84.78,INC,Virendra Chaudhary,40.28,BJP,Bajrang Bahadur Singh,39.69,1246.0,0.5900000000000034,1.2000000000000028,0.6099999999999994,True,98.82,51.22,100.0
43,246,Kunda,Pratapgarh,84.61,JD(L),Raghuraj Pratap Singh,50.58,SP,Gulshan Yadav,35.19,30315.0,15.39,52.599999999999994,37.209999999999994,True,69.22,100.0,100.0
44,306,Domariyaganj,Siddharthnagar,84.46,SP,Saiyada Khatoon,41.19,BJP,Raghvendra Pratap Singh,40.82,771.0,0.36999999999999744,0.0899999999999963,-0.28000000000000114,True,99.26,49.44,100.0
45,132,Jalalabad,Shahjahanpur,84.32,BJP,Hari Prakash Verma,45.97,SP,Niraj Nilinesh,43.86,4572.0,2.1099999999999994,4.4999999999999964,2.389999999999997,True,95.78,54.779999999999994,100.0
46,24,Noorpur,Bijnor,84.24,SP,Ram Avatar Singh,43.27,BJP,Chandra Prakash Singh,40.43,6065.0,2.8400000000000034,6.310000000000002,3.469999999999999,True,94.32,56.94,100.0
47,273,Milkipur (SC),Ayodhya,83.75,SP,Awadhesh Prasad,47.99,BJP,Baba Gorakhnath,41.83,13338.0,6.160000000000004,14.34,8.179999999999996,True,87.67999999999999,66.35999999999999,100.0
48,171,Lucknow West,Lucknow,83.56,SP,Armaan Khan,48.19,BJP,Anjali Kumar Srivastava,45.03,8184.0,3.1599999999999966,6.020000000000003,2.8600000000000065,True,93.68,55.72000000000001,100.0
49,13,Purqazi (SC),Muzaffarnagar,83.46,RLD,Anil Kumar,43.09,BJP,Pramod Utwal,40.05,6532.0,3.0400000000000063,5.539999999999999,2.499999999999993,True,93.91999999999999,54.999999999999986,100.0
50,245,Babaganj (SC),Pratapgarh,83.28,JD(L),Vinod Kumar,40.34,SP,Girish Chandra,30.8,15767.0,9.540000000000003,22.58,13.039999999999996,True,80.91999999999999,76.07999999999998,100.0
51,316,Nautanwa,Maharajganj,83.28,NISHAD,Rishi Tripathi,40.03,SP,Kunwar Kaushal Singh,33.23,15691.0,6.800000000000004,15.259999999999998,8.459999999999994,True,86.39999999999999,66.91999999999999,100.0
52,102,Patiyali,Kasganj,83.21,SP,Nadira Sultan,41.88,BJP,Mamtesh Shakya,40.06,4001.0,1.8200000000000003,1.8699999999999974,0.04999999999999716,True,96.36,50.099999999999994,100.0
53,391,Sevapuri,Varanasi,83.1,BJP,Neel Ratan Singh Patel,47.6,SP,Surendra Singh Patel,37.41,22531.0,10.190000000000005,24.009999999999998,13.819999999999993,True,79.61999999999999,77.63999999999999,100.0
54,368,Mungra Badshahpur,Jaunpur,82.95,SP,Pankaj Patel,41.9,BJP,Ajay Dubey,39.52,5230.0,2.3799999999999955,2.9300000000000033,0.5500000000000078,True,95.24000000000001,51.100000000000016,100.0
55,359,Sikanderpur,Ballia,82.89,SP,Mohammed Ziauddin Rizvi,42.75,BJP,Sanjay Yadav,36.03,11855.0,6.719999999999999,14.400000000000002,7.680000000000003,True,86.56,65.36000000000001,100.0
56,107,Mainpuri,Mainpuri,82.63,BJP,Jaiveer Singh,46.73,SP,Raj Kumar,43.56,6766.0,3.1699999999999946,4.509999999999998,1.3400000000000034,True,93.66000000000001,52.68000000000001,100.0
57,372,Kerakat (SC),Jaunpur,82.54,SP,Tufani Saroj,39.13,BJP,Dinesh Choudhary,35.04,9844.0,4.090000000000003,6.799999999999997,2.7099999999999937,True,91.82,55.41999999999999,100.0
58,260,Karachhana,Prayagraj,82.25,BJP,Piyush Ranjan Nishad,44.06,SP,Ujjwal Raman Singh,39.47,9328.0,4.590000000000003,7.649999999999999,3.059999999999995,True,90.82,56.11999999999999,100.0
59,192,Kaimganj,Farrukhabad,82.17,AD(S),Dr. Surabhi Singh,47.65,SP,Sarvesh Ambedkar,39.97,18543.0,7.68,15.759999999999998,8.079999999999998,True,84.64,66.16,100.0
60,392,Bhadohi,Bhadohi,82.16,SP,Zahid Beg,40.24,BJP,Ravindra Tripathi,38.29,4885.0,1.9500000000000028,0.46999999999999886,-1.480000000000004,True,96.1,47.03999999999999,100.0
61,198,Kannauj (SC),Kannauj,82.01,BJP,Asim Arun,44.53,SP,Anil Kumar Dohare,42.29,6090.0,2.240000000000002,0.9899999999999949,-1.250000000000007,True,95.52,47.499999999999986,100.0
62,3,Saharanpur Nagar,Saharanpur,81.98,BJP,Rajiv Gumber,48.85,SP,Sanjay Garg,46.32,7434.0,2.530000000000001,1.7099999999999937,-0.8200000000000074,True,94.94,48.359999999999985,100.0
63,9,Thana Bhawan,Shamli,81.86,RLD,Ashraf Ali Khan,47.47,BJP,Suresh Rana,42.53,10806.0,4.939999999999998,7.939999999999998,3.0,True,90.12,56.0,100.0
64,43,Siwalkhas,Meerut,81.8,RLD,Ghulam Mohammed,43.52,BJP,Maninder Pal,39.61,9182.0,3.9100000000000037,5.089999999999996,1.1799999999999926,True,92.17999999999999,52.359999999999985,100.0
65,151,Mahmoodabad,Sitapur,81.71,BJP,Asha Maurya,41.91,SP,Narendra Singh Verma,39.51,5222.0,2.3999999999999986,0.9100000000000037,-1.4899999999999949,True,95.2,47.02000000000001,100.0
66,98,Shikohabad,Firozabad,81.7,SP,Mukesh Verma,45.14,BJP,Omprakash Verma,41.18,9328.0,3.960000000000001,5.060000000000002,1.1000000000000014,True,92.08,52.2,100.0
67,277,Katehari,Ambedkar Nagar,81.64,SP,Lalji Verma,37.78,NISHAD,Avadhesh Kumar,34.67,7696.0,3.1099999999999994,2.6999999999999957,-0.4100000000000037,True,93.78,49.17999999999999,100.0
68,279,Alapur (SC),Ambedkar Nagar,81.63,SP,Tribhuwan Dutt,35.55,BJP,Triveniram,31.05,9383.0,4.4999999999999964,6.390000000000004,1.8900000000000077,True,91.0,53.780000000000015,100.0
69,378,Mohammadabad,Ghazipur,81.42,SP,Suhaib Ansari,45.26,BJP,Alka Rai,37.64,18759.0,7.619999999999997,14.36,6.740000000000002,True,84.76,63.480000000000004,100.0
70,283,Nanpara,Bahraich,81.14,AD(S),Ram Niwas Verma,43.91,SP,Madhuri Verma,37.81,12184.0,6.099999999999994,9.830000000000005,3.730000000000011,True,87.80000000000001,57.46000000000002,100.0
71,292,Gainsari,Balrampur,80.8,SP,Shiv Pratap Yadav,39.68,BJP,Shailesh Kumar Singh,36.61,5837.0,3.0700000000000003,1.1799999999999997,-1.8900000000000006,True,93.86,46.22,100.0
72,202,Bidhuna,Auraiya,80.65,SP,Rekha Verma,42.59,BJP,Riya Shakya,39.19,3265.0,3.4000000000000057,1.8099999999999952,-1.5900000000000105,True,93.19999999999999,46.81999999999998,100.0
73,201,Bharthana (SC),Etawah,80.62,SP,Raghvendra Kumar Singh,42.02,BJP,Siddharth Shanker,38.96,7559.0,3.0600000000000023,0.8599999999999994,-2.200000000000003,True,93.88,45.599999999999994,100.0
74,309,Rudhauli,Basti,80.55,SP,Rajendra Prasad Chaudhary,36.82,BJP,Sangeeta Pratap Jaiswal,30.33,15226.0,6.490000000000002,9.889999999999997,3.399999999999995,True,87.02,56.79999999999999,100.0
75,403,Duddhi (ST),Sonbhadra,80.42,BJP,Ramdular Gaur,41.28,SP,Vijay Singh Gour,38.2,6297.0,3.0799999999999983,0.5800000000000054,-2.499999999999993,True,93.84,45.000000000000014,100.0
76,281,Akbarpur,Ambedkar Nagar,79.95,SP,Ram Achal Rajbhar,38.14,BJP,Dharmraj Nishad,32.39,12336.0,5.75,6.920000000000002,1.1700000000000017,True,88.5,52.34,100.0
77,280,Jalalpur,Ambedkar Nagar,79.84,SP,Rakesh Pandey,36.18,BSP,Dr. Rajesh Singh,30.91,13630.0,5.27,5.450000000000003,0.18000000000000327,True,89.46000000000001,50.36000000000001,100.0
78,363,Bairia,Ballia,79.63,SP,Jai Prakash Anchal,40.33,BJP,Anand Swarup Shukla,33.0,12951.0,7.329999999999998,10.59,3.2600000000000016,True,85.34,56.52,100.0
79,276,Goshainganj,Ayodhya,79.44,SP,Abhay Singh,43.87,BJP,Arti Tiwari,38.45,13079.0,5.419999999999995,5.18,-0.23999999999999488,True,89.16000000000001,49.52000000000001,100.0
80,152,Sidhauli (SC),Sitapur,79.29,BJP,Manish Rawat,43.58,SP,Dr. Hargovind Bhargawa,39.6,9716.0,3.979999999999997,1.0899999999999963,-2.8900000000000006,True,92.04,44.22,100.0
81,236,Chitrakoot,Chitrakoot,78.65,SP,Anil Pradhan,43.23,BJP,Chandrika Prasad Upadhyay,34.62,20876.0,8.61,12.380000000000003,3.770000000000003,True,82.78,57.540000000000006,100.0
82,148,Laharpur,Sitapur,78.64,SP,Anil Kumar Verma,47.05,BJP,Suneel Verma,41.57,13155.0,5.479999999999997,4.019999999999996,-1.4600000000000009,True,89.04,47.08,100.0
83,58,Dhaulana,Hapur,78.63,BJP,Dharmesh Singh Tomar,44.65,SP,Aslam Ali,40.14,12628.0,4.509999999999998,1.4100000000000037,-3.0999999999999943,True,90.98,43.80000000000001,100.0
84,44,Sardhana,Meerut,78.47,SP,Atul Pradhan,48.75,BJP,Sangeet Som,41.27,18200.0,7.479999999999997,9.07,1.5900000000000034,True,85.04,53.18000000000001,100.0
85,82,Mant,Mathura,78.31,BJP,Rajesh Chaudhary,37.35,BSP,Shyam Sundar Sharma,33.09,9580.0,4.259999999999998,0.21000000000000085,-4.049999999999997,True,91.48,41.900000000000006,100.0
86,174,Lucknow Central,Lucknow,78.27,SP,Ravidas Mehotra,49.62,BJP,Rajnish Kumar Gupta,44.43,10935.0,5.189999999999998,2.6199999999999974,-2.5700000000000003,True,89.62,44.86,100.0
87,257,Pratappur,Prayagraj,78.07,SP,Vijama Yadav,40.09,AD(S),Rakesh Dhar Tripathi,35.27,10956.0,4.82,1.3000000000000043,-3.519999999999996,True,90.36,42.96000000000001,100.0
88,289,Bhinga,Shrawasti,77.26,SP,Indrani Devi,44.85,BJP,Padam Sen Chaudhary,38.98,13574.0,5.8700000000000045,2.759999999999998,-3.1100000000000065,True,88.25999999999999,43.77999999999999,100.0
89,243,Khaga (SC),Fatehpur,77.25,BJP,Krishna Paswan,41.87,SP,Ramthirth Paramhans,39.12,5509.0,2.75,31.220000000000002,28.470000000000002,False,94.5,100.0,0.0
90,186,Amethi,Amethi,76.18,SP,Maharaji Prajapati,46.46,BJP,Sanjaya Sinh,39.93,18096.0,6.530000000000001,2.7100000000000044,-3.8199999999999967,True,86.94,42.36000000000001,100.0
91,248,Pratapgarh,Pratapgarh,75.86,BJP,Rajendra Maurya,45.8,AD(K),Krishna Patel,33.01,25063.0,12.79,18.880000000000003,6.090000000000003,True,74.42,62.18000000000001,100.0
92,350,Didarganj,Azamgarh,75.39,SP,Kamlakant Rajbhar,36.99,BJP,Krishna Murari Vishwakarma,30.25,13561.0,6.740000000000002,1.9599999999999973,-4.780000000000005,True,86.52,40.43999999999999,100.0
93,75,Koil,Aligarh,75.29,BJP,Anil Parashar,42.81,SP,Shaaz Ishaaq,40.82,5028.0,1.990000000000002,22.45,20.459999999999997,False,96.02,90.91999999999999,0.0
94,351,Lalganj (SC),Azamgarh,74.88,SP,Bechai Saroj,38.31,BJP,Neelam Sonkar,31.57,14733.0,6.740000000000002,1.1000000000000014,-5.640000000000001,True,86.52,38.72,100.0
95,360,Phephana,Ballia,74.72,SP,Sangram Singh,48.78,BJP,Upendra Tiwari,38.57,19354.0,10.21,10.100000000000005,-0.10999999999999588,True,79.58,49.78000000000001,100.0
96,179,Harchandpur,Raebareli,74.71,SP,Rahul Rajpoot,45.87,BJP,Rakesh Singh,38.69,14489.0,7.18,1.9899999999999949,-5.190000000000005,True,85.64,39.61999999999999,100.0
97,176,Mohanlalganj (SC),Lucknow,74.36,BJP,Amresh Kumar,43.58,SP,Sushila Saroj,36.84,16548.0,6.739999999999995,0.240000000000002,-6.499999999999993,True,86.52000000000001,37.000000000000014,100.0
98,340,Bhatpar Rani,Deoria,73.83,BJP,Sabhakunwar Kushawaha,46.98,SP,Ashutosh Upadhyay,37.68,18082.0,9.299999999999997,6.189999999999998,-3.1099999999999994,True,81.4,43.78,100.0
99,188,Sultanpur,Sultanpur,73.81,BJP,Vinod Singh,42.24,SP,Anoop Sanda,41.78,1009.0,0.46000000000000085,15.909999999999997,15.449999999999996,False,99.08,80.89999999999999,0.0
100,234,Naraini (SC),Banda,73.46,BJP,Ommani Verma,38.91,SP,Kiran Verma,35.77,6719.0,3.1399999999999935,22.470000000000002,19.33000000000001,False,93.72000000000001,88.66000000000003,0.0
101,397,Majhawan,Mirzapur,73.45,NISHAD,Dr. Vinod Kumar Bind,42.07,SP,Rohit Shukla,28.38,33587.0,13.690000000000001,17.25,3.5599999999999987,True,72.62,57.12,100.0
102,51,Baraut,Baghpat,73.37,BJP,Krishnapal Malik,46.34,RLD,Ch. Jaiveer Singh Tomar,46.18,315.0,0.1600000000000037,14.370000000000005,14.21,False,99.67999999999999,78.42,0.0
103,354,Ghosi,Mau,72.92,SP,Dara Singh Chauhan,42.21,BJP,Vijay Rajbhar,33.57,22216.0,8.64,2.9100000000000037,-5.729999999999997,True,82.72,38.540000000000006,100.0
104,401,Robertsganj,Sonbhadra,72.74,BJP,Bhupesh Chaubey,40.29,SP,Avinash Kushwaha,37.61,5621.0,2.6799999999999997,20.04,17.36,False,94.64,84.72,0.0
105,196,Chhibramau,Kannauj,72.72,BJP,Archana Pandey,44.31,SP,Arvind Singh Yadav,43.91,1111.0,0.4000000000000057,13.939999999999998,13.539999999999992,False,99.19999999999999,77.07999999999998,0.0
106,21,Nehtaur (SC),Bijnor,72.24,BJP,Om Kumar,38.98,RLD,Munshi Ram,38.86,258.0,0.11999999999999744,12.379999999999999,12.260000000000002,False,99.76,74.52000000000001,0.0
107,379,Zamania,Ghazipur,72.19,SP,Omprakash Singh,40.57,BJP,Sunita Singh,30.95,22456.0,9.620000000000001,4.300000000000001,-5.32,True,80.75999999999999,39.36,100.0
108,167,Purwa,Unnao,72.15,BJP,Anil Kumar Singh,52.27,SP,Uday Raj,40.14,31061.0,12.130000000000003,10.93,-1.2000000000000028,True,75.74,47.599999999999994,100.0
109,241,Ayah Shah,Fatehpur,71.9,BJP,Vikas Gupta,44.4,SP,Vishambhar Prasad Nishad,36.3,13006.0,8.100000000000001,34.800000000000004,26.700000000000003,False,83.8,100.0,0.0
110,266,Kursi,Barabanki,71.46,BJP,Sakendra Pratap Verma,41.15,SP,Rakesh Verma,41.07,217.0,0.0799999999999983,10.98,10.900000000000002,False,99.84,71.80000000000001,0.0
111,216,Kanpur Cantonment,Kanpur Nagar,71.32,SP,Mohammed Hasan,49.99,BJP,Raghunandan Singh Bhadauria,39.44,19987.0,10.550000000000004,5.329999999999998,-5.220000000000006,True,78.89999999999999,39.55999999999999,100.0
112,252,Manjhanpur (SC),Kaushambi,71.3,SP,Indrajit Saroj,47.2,BJP,Lal Bahadur,37.93,23878.0,9.270000000000003,1.8900000000000006,-7.380000000000003,True,81.46,35.239999999999995,100.0
113,127,Pilibhit,Pilibhit,71.13,BJP,Sanjay Singh Gangwar,48.08,SP,Shailendra Gangwar,45.41,6970.0,2.6700000000000017,17.340000000000003,14.670000000000002,False,94.66,79.34,0.0
114,144,Mohammdi,Lakhimpur Kheri,71.04,BJP,Lokendra Pratap Singh,42.75,SP,Daud Ahmad,40.66,4871.0,2.0900000000000034,15.64,13.549999999999997,False,95.82,77.1,0.0
115,36,Bilaspur,Rampur,70.82,BJP,Baldev Singh Aulakh,43.17,SP,Amarjit Singh,43.04,307.0,0.13000000000000256,10.049999999999997,9.919999999999995,False,99.74,69.83999999999999,0.0
116,22,Bijnor,Bijnor,70.76,BJP,Suchi Chaudhary,38.54,RLD,Neeraj Chaudhary,37.96,1445.0,0.5799999999999983,11.149999999999999,10.57,False,98.84,71.14,0.0
117,328,Chillupar,Gorakhpur,70.71,BJP,Rajesh Tripathi,42.49,SP,Vinay Shankar Tiwari,32.98,21645.0,9.510000000000005,1.5399999999999991,-7.970000000000006,True,80.97999999999999,34.05999999999999,100.0
118,11,Budhana,Muzaffarnagar,70.59,RLD,Rajpal Singh Baliyan,51.28,BJP,Umesh Malik,40.21,28310.0,11.07,5.5,-5.57,True,77.86,38.86,100.0
119,122,Faridpur (SC),Bareilly,70.57,BJP,Shyam Bihari Lal,45.22,SP,Vijay Pal Singh,43.78,2921.0,1.4399999999999977,13.119999999999997,11.68,False,97.12,73.36,0.0
120,146,Sitapur,Sitapur,70.55,BJP,Rakesh Rathour,42.72,SP,Radhe Shyam Jaiswal,42.18,1253.0,0.5399999999999991,10.689999999999998,10.149999999999999,False,98.92,70.3,0.0
121,20,Dhampur,Bijnor,70.43,BJP,Ashok Kumar Rana,39.89,SP,Naeemul Hasan,39.79,203.0,0.10000000000000142,9.310000000000002,9.21,False,99.8,68.42,0.0
122,256,Phulpur,Prayagraj,70.41,BJP,Praveen Patel,42.0,SP,Mujataba Siddiqui,40.89,2732.0,1.1099999999999994,11.970000000000002,10.860000000000003,False,97.78,71.72,0.0
123,358,Rasara,Ballia,70.37,BSP,Umashankar Singh,43.82,SBSP,Mahendra,40.54,6583.0,3.280000000000001,17.689999999999998,14.409999999999997,False,93.44,78.82,0.0
124,353,Madhuban,Mau,70.1,BJP,Ram Bilash Chauhan,35.24,SP,Umesh Pandey,33.26,4448.0,1.980000000000004,13.780000000000001,11.799999999999997,False,96.03999999999999,73.6,0.0
125,242,Husainganj,Fatehpur,70.05,SP,Usha Maurya,48.78,BJP,Ranvendra Pratap Singh,35.41,25181.0,13.370000000000005,10.73,-2.640000000000004,True,73.25999999999999,44.71999999999999,100.0
126,53,Loni,Ghaziabad,70.0,BJP,Nand Kishor Gurjar,40.44,RLD,Madan Bhaiya,37.68,8676.0,2.759999999999998,15.689999999999998,12.93,False,94.48,75.86,0.0
127,131,Katra,Shahjahanpur,69.96,BJP,Veer Vikram Singh,39.9,SP,Rajesh Yadav,39.72,357.0,0.17999999999999972,8.750000000000004,8.570000000000004,False,99.64,67.14000000000001,0.0
128,387,Rohaniya,Varanasi,69.79,AD(S),Dr. Sunil Patel,48.08,AD(K),Abhay Patel,29.25,46472.0,18.83,24.860000000000003,6.030000000000005,True,62.34,62.06000000000001,100.0
129,45,Hastinapur (SC),Meerut,69.74,BJP,Dinesh Khatik,46.72,SP,Yogesh Verma,43.55,7312.0,3.1700000000000017,16.359999999999996,13.189999999999994,False,93.66,76.38,0.0
130,362,Bansdih,Ballia,69.73,BJP,Ketakee Singh,47.67,SP,Ram Govind Chaudhary,37.82,21352.0,9.850000000000001,0.8099999999999987,-9.040000000000003,True,80.3,31.919999999999995,100.0
131,394,Aurai (SC),Bhadohi,69.65,BJP,Dinanath Bhashkar,41.69,SP,Smt. Anjani,40.95,1647.0,0.7399999999999949,9.719999999999999,8.980000000000004,False,98.52000000000001,67.96000000000001,0.0
132,121,Nawabganj,Bareilly,69.6,BJP,Dr. M. P. Arya Gangwar,48.2,SP,Bhagwat Saran Gangwar,44.2,9237.0,4.0,18.34,14.34,False,92.0,78.68,0.0
